companies,neutral,negative,positive
ремарк,0.31735934664805726,0.04012580138941604,0.11716943743949133
ренессанс страхование,0.23915901821649943,0.07610688935965298,0.030111972739299123
репутация москва,0.368389189013241,0.11667751331005949,0.028053456714745018
ривьера,0.19401295387676673,0.04759214020911827,0.02250052333495785
рокет хьюманс,0.21411292868556445,0.0631659120360977,0.04543953999721316
россельхозбанк,0.3318109193652612,0.0757345404343615,0.021966987759402246
ростелеком,0.37151160317086446,0.0875374680450532,0.02520182804074376
ртлабс,0.0,0.0,0.0
русская медиагруппа,0.23735271637269761,0.03734657703898846,0.013644084101542825
самокат,0.3375694194425096,0.0901374409484279,0.030772606051562602
сбер,0.23915332168031822,0.05814958263030469,0.019369728269973824
сбер еаптека,0.178314404098355,0.05461735538990816,0.002271605237406117
сберавтопарк,0.1586159680335395,0.03396704529239013,0.00857751870906985
сберзвук,0.21235205201384258,0.0443203458013298,0.013517944617140683
сберздоровье,0.16578535003537154,0.05560758891076334,0.02902715810330959
сбермаркет,0.2565389393259622,0.06465834628953651,0.025076314567248806
сбермегамаркет,0.274844149453343,0.07632141617207937,0.014345428440368482
сбис,0.2714683263937304,0.0704714317785259,0.01601913265703125
сибур,0.25927404833997003,0.059476544759202,0.033058920886794456
ситидрайв,0.17680013370457312,0.028925343308071904,0.01009720010009406
ситимобил,0.35568703055462864,0.0820867393434284,0.028736121138924757
скантур,0.12830739219983417,0.0,0.3015535076459249
спортмастер,0.20265060274116758,0.05091155518006072,0.018172643988528928
столото,0.5567876742540665,0.11578504088210415,0.04467532104514183
такси вконтакте,0.34806649684906005,0.0268951445817947,0.0355784863233566
телфин,0.33385465158359184,0.046910284222464765,0.014621694080435727
тинькофф,0.3536089132514176,0.08021970760572496,0.02261855637919159
тнт,0.34725197400703184,0.07083694388408315,0.028963519883731217
точка,0.3862351353707612,0.06820110998416064,0.0315125635464654
убрир,0.07078296442826588,0.02384721065560977,0.02263962427775065
уралсиб,0.27197160290592504,0.058348447641491184,0.033658658800727256
учи.ру,0.5725404918193817,0.09925999244054153,0.0
финам,0.37199737071512634,0.07586017397786281,0.023331695430920542
финэктор групп,0.2892924034036696,0.12069585770368574,0.18948614895343782
фоксфорд,0.37140746735515867,0.08050999106077864,0.03835211799134015
хайс,0.1826241736149049,0.034423740555426664,0.05427580557715814
хоум кредит,0.31517876555380164,0.06356129689204622,0.05931302176411526
цдп,0.1290660627462246,0.01819210229096589,0.0057017949444276295
циан,0.3182954498274854,0.06492572192405419,0.02443396002254927
цифра,0.2679566251618738,0.04952214871917656,0.024650203665251762
юmoney,0.4141729992407464,0.09845213107725372,0.014716929684397532
юздеск,0.2582830951144599,0.018793664095910274,0.011428897579511
яндекс,0.35675516976945487,0.07398026429095056,0.026067161957399734
яндекс.дзен,0.39065788198166107,0.08026557351838033,0.029559248355782167
яндекс.драйв,0.4577316244163275,0.11781401201005252,0.030254296296846003
яндекс.лавка,0.33771586698202677,0.09535387249272756,0.024884271303597195
яндекс.маркет,0.3593209613799919,0.08052524202543149,0.020750540306373827
яндекс.маршрутизация,0.26990396469940636,0.07548663927872137,0.030750767003758478
яндекс.услуги,0.3120829922644354,0.07447490129465678,0.01632319256922057
яндекс.шеф,0.48231066700707753,0.12431265798558487,0.028727571944682694
